Sentence,Label
"안녕하세요, 반갑습니다. 폰트 커피 양태은입니다.
",0
"이번에 제가 알려드릴 레시피는 아이스 브루윙, 커피 레시피입니다.
",0
"저희 브루윙 레시피의 중요한 점은 상대적으로 굵은 물줄기를 사용하시는 것과 추출 시간에 약 50% 이내로 푸어를 끝내는 것입니다.
",0
"조금 더 쉽게 말씀드리면 저희 커피는 대개 추출이 3분 전으로 종료되는데, 이때 푸어를 마지막으로 1분 30초에서 40초 정도에 끝내주시면 됩니다.
",0
"그럼 커피를 내리면서 자세히 설명해 드리겠습니다.
",0
"제가 오늘 사용할 원두는 콜롬비아 톨리마 지역에 위치한 라팔마 농장의 게이샵 워시드입니다.
",0
"원두는 20g을 담겠습니다. 분쇄도는 EK 43 기준 9 를 사용하고, 코만 단테는 24클릭을 사용합니다.
",1
"저희는 820 정도의 마이크롬 분쇄도를 사용하고 있습니다.
",0
"드리퍼는 칼리타 웨이브 드리퍼를 사용하고, 흰색 웨이브 필터를 함께 사용합니다.
",1
"드리포트는 펠로 900 미리, 추칠 수 온도는 94도입니다. 그럼 필터 린싱을 먼저 하겠습니다.
",1
"필터를 린싱하실 때에는 웨이브 필터 옆면이 무너지지 않도록 정중앙에 물을 먼저 부우신 다음 옆면을 린싱해 주시면 됩니다.
",0
"인싱이 끝난 후에는 드리퍼를 꼭 뒤집어서 물을 다 빼주셔야 합니다.
",0
"저희는 아이스커피를 추출할 때 얼음을 먼저 넣고 추출하고 있는데요. 저희는 얼음을 6개 정도 담겠습니다.
",1
"그런데 집에서 드시는 얼음이 녹는 정도가 다를 수 있으니 서버에 4분의 1 정도 채우시고.
",0
"추출을 하신 다음 취향에 따라서 추출 후에 얼음에 희석해 드시면 됩니다. 그럼 원두 분쇄 후 추출 후 시작하겠습니다.
",0
"첫 번째는 뜸들이기입니다. 10초 이내로 33g까지 푸어해 주시면 됩니다.
",1
"가운데에서 시작해서 바깥쪽으로 커피를 충분히 적셔주시면 됩니다.
",1
"33초가 되면 1차를 130g까지 푸어하겠습니다.
",1
"마찬가지로 가운데에서 시작해서 바깥쪽으로 나갔다가 다시 가운데로 돌아오시면 됩니다.
",1
"드리퍼의 물이 70% 정도 빠졌을 때쯤 2차를 200g까지 푸어해 주시면 됩니다.
",1
"1차와 다르게 2차와 3차는 조금 더 굵고 선글게 푸어해 주세요. 그래야 충분히 교반이 잘 될 수 있습.
",1
"감합니다. 마지막으로 3차를 280g까지 푸어하겠습니다.
",1
"저희 커피는 섬세하게 푸어해 주셨을 때보다 시원시원하게 푸어해 주셨을 때 저희 커피가 나타내고자 하는 특징을 조금 더 잘 느끼실 수 있습니다.
",0
"좋은 품질의 커피를 편안하고 조금 더 균형감 있게 드실 수 있도록 일 레스피를 만들었습니다.
",0
"그리고 제가 푸어를 끝내는 시간에 대해 언급해 드린 이유는?
",0
"푸어를 끝내는 시간이 커피의 맛과 추출에 영향을 미치기 때문입니다.
",0
"푸어를 조금 일찍 끝내신 경우에는 커피가 다소 밑밋밋할 수 있고, 푸어를 상대적으로 늦게 끝내신 경우에는 커피에서 불필요한 맛까지 추출될 수 있습니다.
",0
"추출이 완료되어서 컵의 얼음을 담고 실험해 보겠습니다. 저희는 아이스 잔에 얼음을 5개 정도 담겠습니다.
",0
"아이스 브루인.
",0
"커피의 경우 추출이 완료된 다음 추출물이 잘 섞일 수 있도록 파스푼을 한 번 정도 저어주신 다음에 구어주시면 되겠습니다.
",0
"그럼 커피를 시음해 보겠습니다.
",0
"이 커피는 레몬과 청사가 같은 상큼한 산미로 시작해서 뒤에는 캔디 같은 달콤함이 느껴집니다.
",0
"끝으로 진자회일과 같은 향신료의 풍미가 시원하게 느껴져서 커피가 더욱 다채롭게 다가오는 것 같습니다.
",0
"여름에 어울릴 만한 아이스로 드시기 좋은 밝고 청량한 커피입니다.
",0
"제가 알려드린 레시피로 집에서 꼭 내려드셔 보시고 여러분만의 레시피도 만들어 보시길 바랍니다. 감사합니다.
",0
"안녕하세요, 파스텔 커피웍스, 바리스타 정혜원입니다.
",0
"이번 영상에서는 파스텔 커피웍스가 투과식으로 따뜻한 브루잉을 어떻게 내리는지 소개해 드리려고 합니다.
",0
"저희 매장에서는 하리오 스위치 드리퍼를 사용해서 보통 침지식으로 커피를 추출을 하고 있지만, 처음부터 스위치를 내려서 사용하시게 되면은 투과식으로도 커피를 추출해 내실 수 있어요.
",0
"보통 사용하시는 드리퍼가 하리오의 V60이시거나 아니면 나눠서 투과식으로 커피를 추출하시는 분들에게는 이 방법을 권장해 드립니다.
",0
"그래서 오늘 함께 추출해 볼 커피는 저희 언스페셜티 블렌드 프르티 버전 투입니다.
",1
"추출해 사용할 원도의 양은 총 19g입니다. 군세도는 eK 43, S 기준으로 11입니다.
",1
"분쇄한 커피를 담기 전에는 꼭 드리퍼와 서버를 결합을 해주시고, 종이 필터를 넣은 채 린싱을 진행해 주세요.
",0
"종이 필터 린싱을 해주시게 되시면 종이 필터 냄새를 제거할 수도 있고.
",0
"또 저희가 목적으로 하고 있는 이 92도의 온도가 내려가지 않도록 방지하는 효과를 줄 수 있습니다.
",0
"이 커피 성분이 필터에 협착되는 것을 방지할 수 있어요.
",0
"충분히 린싱이 되었으면 물을 버리고 다시 드리퍼와 서버를 결합을 해주시고요.
",0
"이번에는 투과식으로 진행할 거기 때문에 스위치가 내려져 있는지 꼭 확인을 해주세요.
",0
"그리고 분쇄한 커피 18g을 담도록 하겠습니다. 커피 표면을 드리퍼를 살짝 흔들어서 평평하게 해주시고요.
",0
"이때 너무 드리퍼를 세게 흔드는 것보다는 가볍게 2, 3회 정도 흔들어서 평평하게 만들어 주시는 것을 추천해 드립니다.
",0
"저울 영점을 잡으시고요. 92 도의 추출수를 준비를 해주세요.
",1
"뜸은 30g의 물을 가지고 30초 동안 드리도록 하겠습니다.
",1
"그리고 1차 푸어는 30초가 지나면 100g의 물을 추가적으로 부어주도록 하겠습니다.
",1
"30초가 지나고 1분이 되었을 때 다시 100g의 물을 추가적으로 부어주도록 하겠습니다.
",1
"1분 30초가 되면은 마지막으로 50g을 부어줄 텐데요. 이때는 가운데에서 물을 부어주시면 되겠습니다.
",1
"그래서 280g이 될 때까지 가운데에서 센터 푸어로 진행해 주시면 됩니다. 추출은 2분, 30초에서 3분 내로 종료가 됩니다.
",1
"만약에 3분을 너무 훌쩍 넘는 시간이 걸렸다면은 분쇄도를 조금 굵게 가져가시는 것을 추천드립니다.
",0
"이제 드리퍼를 서버에서 제거하고 한번 저어주세요. 그리고 미리 예열한 잔 내에 담아서 드시면 됩니다.
",0
"오늘 추출한 프르티 버전 2 를 마셔보도록 하겠습니다. 후르티 버전 2 에서는요.
",0
"감귤의 산미가 잘 느껴지고 복숭아의 뉘앙스도 잘 느끼실 수 있어요.
",0
"그리고 부드러운 바닐라의 향미와 함께 밀크 초콜릿의 단맛이 잘 받춰주고 있습니다.
",0
"오늘 영상 시청해 주셔서 감사합니다.
",0
"안녕하세요, 파스텔 커피워스의 바리스타 정혜원입니다.
",0
"오늘은 파스텔 커피워스의 따뜻한 브르익 레스트를 소개해 드리려고 하는데요.
",0
"저희 매장에서는 하리오 스위치 드리퍼를 사용해서 커피를 추출을 하고 있어요.
",1
"하리오 스위치 드리퍼 내부에는 이 세 구슬이 있어서 스위치를 올리셨을 때는 침지식으로 커피를 추출하실 수 있고.
",0
"처음부터 스위치를 내려서 추출을 진행하시면 투가식으로도 커피를 추출할 수 있다는 장점을 가진 드리퍼입니다.
",0
"오늘은 침지식으로 바테말라엘 소코로, 파카마라 워시드 커피를 따뜻하게 내려보도록 하겠습니다.
",0
"오늘 사용할 원두는 16.5g이고요, 분쇄도는 2, K 43, S 기준으로 11.17입니다.
",1
"문쇄한 커피를 담기 전에는 꼭 종이 필터를 린싱을 해주셔야 되는데요.
",1
"필터를 잘 잡어서 커피 드리퍼에 담고 물을 충분히 부어서 린싱을 해주세요.
",0
"이렇게 린싱을 하는 이유는 총 세 가지가 있습니다.
",0
"종이 필터의 냄새를 제거할 수도 있고, 또 이 드리퍼와의 열 교환을 통해서.
",0
"추출수 온도를 92도로 사용하는데, 이 92도의 온도를 떨어지지 않도록 유지하고, 이 커피 성분이 필터에 흡착되는 것을 방지할 수 있어요.
",0
"그래서 충분히 린싱을 해주시는 것을 추천드립니다.
",0
"린싱이 끝났으면 서버와 드리퍼를 다시 결합해 주시고 꼭 이 스위치를 올리셔서 확인해 주셔야 해요.
",0
"그리고 분쇄한 커피를 16.5g 담겠습니다.
",1
"분쇄한 커피를 담으신 다음에는 이 드리퍼에 담긴 커피의 표면이 평평한지 꼭 확인을 해주세요.
",0
"이때 너무 과도하게 흔드는 것보다는 두세 번 가볍게 흔들어서 평평하게 만드는 것을 추천드립니다.
",0
